Symbol,Name,Market Cap,Last Sale,Net Change,Percentage Change
NFLX,"Netflix, Inc. Common Stock","77,014,871,898",$173.35,-6.76,-3.75%
NTES,"NetEase, Inc. American Depositary Shares","62,244,761,055",$94.77,-8.03,-7.81%
NVDA,NVIDIA Corporation Common Stock,"390,025,000,000",$156.01,-9.26,-5.60%
NXPI,NXP Semiconductors N.V. Common Stock,"41,569,257,553",$158.32,-10.62,-6.29%
ODFL,"Old Dominion Freight Line, Inc. Common Stock","26,632,465,912",$234.95,-7.3,-3.01%
OKTA,"Okta, Inc. Class A Common Stock","12,470,871,841",$79.04,-6.87,-8%
ORLY,"O'Reilly Automotive, Inc. Common Stock","38,449,378,890",$585.00,-14.01,-2.34%
PANW,"Palo Alto Networks, Inc. Common Stock","46,460,978,711",$466.31,-20.71,-4.25%
PAYX,"Paychex, Inc. Common Stock","41,087,389,042",$113.81,-4.14,-3.51%
PCAR,PACCAR Inc. Common Stock,"28,360,520,419",$81.57,-4.28,-4.99%
PDD,Pinduoduo Inc. American Depositary Shares,"74,295,301,910",$58.76,-1.43,-2.38%
PEP,"PepsiCo, Inc. Common Stock","217,122,799,270",$157.03,-0.76,-0.48%
PYPL,"PayPal Holdings, Inc. Common Stock","82,487,184,143",$71.23,-4.6,-6.07%
QCOM,QUALCOMM Incorporated Common Stock,"135,318,400,000",$120.82,-10.21,-7.79%
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock","61,156,868,510",$556.75,-4.44,-0.79%
ROST,"Ross Stores, Inc. Common Stock","25,758,082,378",$73.61,-2.39,-3.14%
SBUX,Starbucks Corporation Common Stock,"81,372,555,000",$70.95,-3.24,-4.37%
SGEN,Seagen Inc. Common Stock,"27,018,622,880",$146.78,-0.46,-0.31%
SIRI,Sirius XM Holdings Inc. Common Stock,"22,475,225,244",$5.71,-0.3,-4.99%
SNPS,"Synopsys, Inc. Common Stock","44,283,357,383",$289.49,-13.75,-4.53%
SPLK,Splunk Inc. Common Stock,"13,803,611,000",$85.79,-5.04,-5.55%
SWKS,"Skyworks Solutions, Inc. Common Stock","14,443,120,527",$89.75,-4.87,-5.15%
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,"42,012,894,774",$165.74,-13.92,-7.75%
TMUS,"T-Mobile US, Inc. Common Stock","155,795,523,045",$124.28,-2.24,-1.77%
TSLA,"Tesla, Inc. Common Stock","662,321,145,053",$639.30,-59.7,-8.54%
TXN,Texas Instruments Incorporated Common Stock,"139,583,400,118",$151.37,-4.55,-2.92%
VRSK,"Verisk Analytics, Inc. Common Stock","25,040,097,891",$158.58,-1.61,-1.01%
VRSN,"VeriSign, Inc. Common Stock","17,144,856,022",$156.51,-7.37,-4.50%
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,"64,184,515,973",$250.96,-2.55,-1.01%
WBA,"Walgreens Boots Alliance, Inc. Common Stock","34,265,893,317",$39.67,-1.06,-2.60%
WDAY,"Workday, Inc. Class A Common Stock","34,762,440,000",$136.86,-5.95,-4.17%
XEL,Xcel Energy Inc. Common Stock,"35,375,230,796",$64.95,-0.9,-1.37%
ZM,"Zoom Video Communications, Inc. Class A Common Stock","31,654,908,971",$106.09,-6.84,-6.06%
ZS,"Zscaler, Inc. Common Stock","19,297,582,401",$136.03,-12.22,-8.24%
